state,time,pressure,
2,46.05,100568.3036,
2,46.1,100633.1586,
2,46.15,100551.2322,
2,46.2,100606.7741,
2,46.25,100542.3581,
2,46.3,100606.0734,
2,46.35,100614.6,
2,46.4,100604.6523,
2,46.45,100635.8847,
2,46.5,100656.9784,
2,46.55,100593.5957,
2,46.6,100563.4091,
2,46.65,100629.9376,
2,46.7,100653.5768,
2,46.75,100599.2044,
2,46.8,100671.5958,
2,46.85,100554.1575,
2,46.9,100576.7394,
2,46.95,100636.7205,
2,47,100659.6607,
2,47.05,100667.8986,
2,47.1,100517.1028,
2,47.15,100639.4356,
2,47.2,100620.1084,
2,47.25,100648.2658,
2,47.3,100674.5727,
2,47.35,100667.6473,
2,47.4,100773.1467,
2,47.45,100668.3061,
2,47.5,100557.958,
2,47.55,100619.2919,
2,47.6,100610.7789,
2,47.65,100765.5289,
2,47.7,100700.9755,
2,47.75,100614.4928,
2,47.8,100647.6768,
2,47.85,100724.2057,
2,47.9,100714.883,
2,47.95,100693.1591,
2,48,100608.7382,
2,48.05,100658.492,
2,48.1,100594.8948,
2,48.15,100551.3088,
2,48.2,100679.7384,
2,48.25,100706.8022,
2,48.3,100600.4894,
2,48.35,100684.3073,
2,48.4,100737.2475,
2,48.45,100674.6858,
2,48.5,100738.3627,
2,48.55,100739.7843,
2,48.6,100761.7343,
2,48.65,100711.4631,
2,48.7,100643.6136,
2,48.75,100624.9072,
2,48.8,100720.1793,
2,48.85,100751.0037,
2,48.9,100698.6355,
2,48.95,100816.4517,
2,49,100697.7981,
2,49.05,100680.3139,
2,49.1,100727.0617,
2,49.15,100672.1801,
2,49.2,100689.9211,
2,49.25,100755.9487,
2,49.3,100732.7567,
2,49.35,100737.5332,
2,49.4,100644.9365,
2,49.45,100694.4612,
2,49.5,100660.5261,
2,49.55,100648.3754,
2,49.6,100739.8027,
2,49.65,100773.4427,
2,49.7,100696.2437,
2,49.75,100709.7784,
2,49.8,100809.7062,
2,49.85,100666.3245,
2,49.9,100798.7785,
2,49.95,100742.8466,
2,50,100801.338,
